study_hours,grades
31.3224181851,77.0803572137
25.0999121026,67.5490190431
37.2877776649,80.9664184316
28.3990399318,74.3772504306
29.822087485,75.468840769
35.0601476634,80.7071112062
38.4484911913,84.5467657944
39.207995026,79.4184065715
35.9822654269,75.8671006652
29.9994409343,72.5987307168
43.7136933834,80.8692970825
34.1344517524,71.6371682597
42.0854476204,81.8826505566
40.5407898026,86.4899001586
46.6366543162,81.553322221
38.5594807283,80.4469658637
40.8944659328,82.3123614001
32.1625206181,67.9257639546
42.3577854659,84.9000295072
29.0019115279,74.9323476221
38.5295821092,79.0663367587
31.8200605521,70.8577323227
38.8972944864,78.5387913595
23.0925973672,75.7083955126
34.4082609359,78.5955578601
39.6325243639,76.7354644358
44.4113522411,90.8778693429
30.6596988981,77.1011234909
39.3758308675,78.6481931201
39.8111748252,90.877976528
28.8669863287,73.8282335592
31.7605864163,77.5508174367
41.235542614,77.779029734
46.9924011907,89.0089331547
31.6251076068,72.5682940595
30.9815863186,78.3887731529
48.8966634477,87.555266709
31.661151697,73.6789452981
33.2871494316,77.6424155042
46.6854088872,87.9585407521
38.1232830453,78.5247275084
30.5701541553,73.6976810482
44.3026906064,81.9527063917
35.854322657,82.8371507289
32.1837099946,73.4152206431
46.0300425347,90.4234851793
34.6247183294,77.2155232959
47.7428117227,89.266955583
20.011511786,70.2090164358
37.8939642078,87.8335357004
22.9825288628,67.8679464573
30.571673601,76.7826918365
25.3042973792,77.5176322297
36.8553907277,76.4278891356
33.3986117479,77.2235766127
35.8310386046,86.0453235762
30.7679323175,74.3178878978
29.2548086094,72.8095822018
36.2881064911,79.9240323602
42.4037415021,83.5470887844
38.8005393123,82.3261553796
40.7742919833,79.5136746964
36.6162111325,78.6313067901
39.5673252612,83.5339023573
29.7164129016,79.0231240955
36.3225108628,75.158528111
42.7506168921,85.3586150238
23.7172293975,69.401146962
38.8291619965,83.8118296116
38.1204446255,74.9534645698
45.2616919092,86.330583713
36.454127917,75.3709550606
38.9712080848,82.085737584
39.0068809834,77.9925610136
37.5136806098,80.6696612084
35.9594414866,78.4875711504
29.5475445168,73.3970527021
30.2691854868,72.6882480122
26.2074015934,76.5037990998
35.4971767466,77.822653234
32.6303012866,76.9185489304
33.2147954674,75.2053787768
36.3253612845,76.9878073308
36.8490973044,70.9421471565
42.25510604,83.7250617002
26.2787145809,64.2994791265
38.6375069214,77.8923486551
38.2991790476,79.0021852471
32.1021493938,70.1240591504
35.9962223709,79.0896303147
34.2537541289,81.0667537836
29.9340692029,71.610678142
33.2157381106,81.6838615422
33.1601288837,79.0896385789
40.5509959364,83.6063452476
34.7480939254,75.3387258473
28.5130530584,70.4636366225
45.6838996659,85.3189853019
34.6263794449,81.1023662902
30.9827924976,75.8701676368
42.3060719859,83.8466840357
30.5841629253,76.7027371294
31.2376204983,66.4508170785
28.126708689,77.6781085215
30.4971882488,74.7123427644
44.4369497049,86.7235837566
28.3564417631,66.2671500081
39.8177869391,84.0701489929
32.6117780102,71.547243112
40.6710825735,81.1623236532
44.4159709474,83.2357425549
37.381942705,80.0074083056
30.969189759,80.4627820736
35.7161825996,82.8806945352
40.9714340248,81.2939971921
36.8782107498,77.6561636531
35.3560341857,74.7989290344
36.2082878105,76.0129635202
31.0789905707,75.8803266896
37.6369943343,79.8633195612
39.6370953634,87.2012246112
31.5082080992,76.3986823384
31.9712077002,74.0412216466
30.4230084719,67.9161156031
32.7296700223,78.9996893757
32.9456602219,77.0151263316
34.1106832219,83.2074453945
43.9287661048,83.8136266773
38.823676427,78.6827125291
32.1253802924,74.3931113873
27.1105567467,71.2328048446
40.2714231813,80.9255377156
39.1551516706,80.9320351579
26.7337533341,66.9350103823
37.8025087936,68.0349849812
43.2699717104,87.6140427653
31.5589650769,76.3726617299
33.6671970739,74.6753952333
28.1783440708,67.6021387895
44.6689538416,86.6054220007
24.2459155916,64.3411854336
40.3942134649,76.4272585449
19.2660615733,70.2616021925
45.6530043211,88.7806404236
38.9769477142,84.7273449748
21.6179219272,67.9534478974
31.4016108996,74.4433181119
33.2163287807,81.2726780262
32.5008392794,70.0061496282
29.2001704589,68.509553698
31.3006541593,75.726507908
30.0853558229,72.5536848493
38.5949391239,84.3969505618
34.726951063,77.2459605725
30.6669667914,69.5007510506
28.3762812271,76.7553834251
41.3136148097,83.7757387249
43.1201089533,81.4217932596
44.8051915801,83.5542367087
23.7112351161,68.6167013852
41.9841769568,83.758060774
39.8995141359,81.7028058982
40.1723482349,80.8445597772
37.6955602799,86.6112914154
43.7704357228,85.4110612219
46.955899715,89.9977636836
39.7985377623,86.3939985258
25.1257018738,69.8238354817
17.6022123088,70.0119550116
47.3899841086,86.27405562
32.10556953,74.010823792
43.6556398,87.1993179775
35.0834992079,77.6541349826
31.583726304,74.0792625111
37.1284289904,87.8241983799
35.2356526688,78.6345187025
39.1219958011,77.4463115248
43.9752876026,87.3445731806
38.2292498998,79.5003428012
40.5152683836,80.5636058174
42.5983268012,83.7185468075
25.8148238903,72.1716648406
32.8540263756,70.3374918993
27.3425172448,67.1839081307
40.6491600409,83.7320605769
24.7463152611,71.3391468991
27.4570015201,70.1792265485
32.4169318077,77.233822838
45.0081387146,89.2175675426
41.2133810713,87.9886253961
30.4942871285,73.0947658657
30.588492397,68.89806403
29.9477773733,71.2371943729
41.6275043946,85.4884704043
31.9047242714,67.0566488243
37.5151174856,80.0283882764
29.2699786204,70.2659026295
39.2003577482,82.9377065991
37.2323536823,78.183003575
37.1112988223,82.7213401813
42.2763128241,79.3592260413
34.2067442686,79.3991115078
26.5110240324,68.8135501085
29.5931054397,70.6363783695
39.3661924969,82.2915663352
35.4854101977,72.9576439206
46.0733959001,80.1420118455
27.9151101237,63.8818929133
36.0643608975,76.890583746
47.3526098249,86.4411011854
35.3654602832,71.2332873576
27.3862014474,72.7152263617
30.6578552849,73.3476234656
30.8427216691,76.9107612339
34.9191513478,79.5125706847
33.4473075231,76.2128428005
46.958395894,81.4138260806
29.9995157202,69.3963681348
37.6390064214,82.8610030113
42.9662205825,83.3474388045
30.3805803501,72.6020777804
29.5213173439,75.3722443014
51.8952551104,91.1142618544
30.207631586,74.9518885113
45.8190532114,84.466361821
41.4987742946,79.8395837786
28.6721290934,75.3370117163
34.6435159645,79.2336081726
33.0319660332,72.9551022594
50.628155491,90.6476410542
29.4383314379,78.253211918
30.0198693042,68.1759516652
38.5140812609,76.8375262967
35.0454640217,77.5445545548
26.7688967764,71.4822815116
37.9973513831,81.8516228084
37.8746903137,74.7701178032
30.6287976578,77.425980842
40.6893700839,75.3542909617
25.8956794264,66.8329058721
30.8010986282,76.0361323777
23.8571219851,72.757083469
40.6873715718,78.8035909609
37.8443046212,78.8024619764
45.1113219173,85.3820647671
28.9494398159,66.9584488137
38.3845183137,85.4184958215
40.2989475313,80.8931455916
28.8548500854,73.8745002973
34.9491698785,69.3599369571
27.2186216719,72.1700131652
25.400360008,77.0869392707
31.3175325398,73.8362180484
35.3322361758,80.5927820528
34.2328991467,71.237079118
28.4631812827,71.4136973105
37.4466939122,83.0497383857
36.1352559134,75.6437921758
41.3805930911,78.2154185427
34.234770514,76.9123674938
34.5619397938,80.0298615264
33.3854869505,69.0342715213
41.1646355137,82.18927654
29.3153121865,72.1965092517
40.988265337,89.857706126
44.1551688659,83.1307391348
50.4191709035,90.8725308156
37.1769712251,78.5297468358
29.8885548317,79.139763514
36.1673589235,87.959023099
47.3317708204,88.0422272215
34.0353893803,70.8445603776
43.7971427908,83.4572357657
29.22844372,75.9668052923
19.7377391883,56.3651527859
45.5591862704,87.7066352996
51.9840461615,92.6301131093
37.2867768917,79.100119406
39.4343156859,75.9309996928
35.1597935242,76.342460232
32.3415411627,76.3967187525
31.741529264,75.1292731556
33.7474538277,72.2573252421
29.9188975578,69.3754202421
29.3136110125,67.7035088927
38.8664013417,87.4581838343
33.2861852391,79.9644862834
35.0017858566,75.200535352
39.3081396607,84.5477646427
33.828257706,82.6088269511
29.4439406713,68.2304500014
34.0314398462,79.146697052
24.5150431202,71.2154232716
35.8728458962,76.976315251
49.5499908598,94.2140024875
35.8341162589,80.5083095038
17.6045365391,60.5657067648
25.4909150053,68.3036126541
33.4832386304,75.3475622975
43.5102669288,90.2891675567
44.4960622862,83.6601361326
37.2673118774,82.7780581283
48.8414618805,89.7847229686
42.0528445731,79.7831417965
31.2456276562,77.0817675293
32.3934135403,74.0367158554
33.6689331357,76.9532199834
33.0080331038,70.5117947815
27.7694795032,76.8238395943
24.1596601779,68.6199158524
41.0102848803,82.0822155029
29.1601954474,76.2954452812
32.5047312325,75.2475238272
38.182097991,76.0094492715
41.453989034,84.2698850374
29.9418254786,75.6402951256
33.1629107678,77.0612158473
24.1759424925,65.1782329175
31.2682695165,71.6422861466
22.8666125189,70.3198234118
31.5077620398,80.5197325269
39.7927267613,79.1974574979
30.2803189338,73.5039543738
43.788178353,76.7720345261
28.6380666207,72.6452333039
37.8794860846,81.7728852285
36.6130610346,81.7396042143
32.7998401764,75.4894197124
32.3792147296,75.5321202775
38.3305149946,77.5854290033
27.8245122578,78.0601713203
36.7508177731,82.0686643824
38.6830414702,79.8397889006
28.7949647889,75.4843707109
47.0831209752,85.5703468231
28.0495393718,75.1126317185
38.8875908336,76.4545164521
35.9631355487,78.9627343951
33.2050430817,75.7953376717
46.6677097688,88.0620792566
45.7327467646,88.6069360689
30.6204801265,75.0002851722
41.8340327167,94.4595529751
37.2462621053,80.1514855477
33.9303215614,78.223769903
43.1812358808,81.756828278
35.8997170527,81.3847412203
34.935018754,77.4784041205
49.6980229086,92.2530009811
49.6752250687,89.1785133819
27.4603502263,69.739418236
38.9381739618,81.6638699417
46.8370006177,86.0276360881
35.5020443544,77.9402190587
24.3003010764,68.1526887421
53.6173189243,91.8796301978
38.2732454934,85.9079014825
37.9727289585,78.493366975
40.676552503,84.1192396064
27.2484840572,76.4214822557
34.7729859757,77.0341527088
33.406168372,83.6118523643
35.300331774,78.1401426923
40.3099715073,82.338777254
47.0206622197,90.3331444883
16.8895526714,58.3383287322
42.5968568771,78.9272150904
32.9068857939,70.5089206976
35.3740235287,69.4453326763
37.6071465101,77.573467897
40.9222073179,80.1114155391
34.5870567785,75.9750507985
28.4760602903,67.2034913852
29.5752446317,69.5170552275
36.9999571681,78.8414988957
36.40395169,83.7242588658
37.0796164089,75.4225263653
33.8114338526,82.3291574071
41.1213804922,80.8603348261
33.601330735,76.0765640062
32.9544101244,76.4170877989
29.9906916642,75.3537799646
25.8526243486,65.2728880982
38.1281310742,75.2016056141
38.4160865718,80.4874573638
34.9004006223,72.9144706766
28.6517791996,76.3464962839
26.8226241454,75.409974205
25.2872977886,72.5694486194
30.5191413366,73.7590739826
31.4180331917,70.3468928032
46.6086508136,90.962067943
45.6762781893,89.2043171027
40.6558198709,82.6239478616
25.8874549308,69.6433663777
35.9892310935,74.9733106623
34.6534928137,69.0812630107
40.5115503584,81.1675358511
40.5209894427,81.1392731255
25.1698272771,69.386176893
34.1242591577,75.9293240288
30.7358306479,72.5814106807
30.2226827889,72.6564827482
30.8071691482,75.3366792882
34.0018393937,75.6294835068
32.6013932563,78.5994754033
32.9686416536,69.0997341915
35.2945048709,79.4693613496
36.075052054,78.1652720341
38.1986031943,73.253621129
41.4981466095,79.1413042692
29.2085040734,77.5930280185
39.9522772261,87.0127205256
31.2263918879,76.9547127781
24.2495141837,72.7936148349
36.38419261,78.09763853
41.4644868635,81.3596554201
42.3333508533,87.115752324
21.5960603597,65.0261349524
27.3525118564,65.9605348607
41.8258464137,89.1161689357
47.8004675532,88.0317573281
26.8862957028,71.057921267
46.3760433779,88.1372036351
26.3483107368,70.0781192958
39.6038375023,85.8706143622
34.0452193756,74.66587616
50.3322542051,91.9646261893
37.9088023337,80.0380035175
33.1916246919,76.3397510227
35.1193165871,77.1774262452
39.8844289206,77.6383085065
37.4718342379,78.6769929916
38.0123925434,74.0884871455
31.4938731706,79.3637372111
26.9500617068,72.5030046997
35.0071938313,78.5525511341
38.1812405524,79.5326776366
38.5544817205,82.3875228596
23.9293944677,73.7818984345
33.5182168661,73.7765157912
45.5554522841,88.5365669117
26.5127311848,75.6676275691
32.5252827096,73.3429510398
47.9459454151,85.9392969131
48.8232494067,92.1556866584
38.7301492819,83.4611500146
37.8644425851,84.6992078998
42.9480751903,81.7433724233
49.699639815,91.7810017423
36.2729024624,77.6191260375
47.8405481372,87.2041637414
35.3539113062,83.1773579927
29.502717706,76.6456373452
49.0557768672,93.2069873925
26.1612427443,64.4715573419
35.1838617303,77.7116125229
33.1486669959,77.8201911228
31.1302118785,73.5944941813
39.8724813502,81.5060477597
30.2399565705,75.0661246834
38.0870360492,80.1566414001
22.38740959,60.9140116996
40.3885522773,84.7164446281
48.7921644623,85.9359396901
41.582779824,82.4175414461
34.514948161,79.4340039816
29.2464048459,70.8619993052
39.6345164237,83.2619977739
31.5711727376,75.5521317268
32.2513641701,79.8759984295
40.7867796769,85.6128864455
36.0536011996,77.9186590735
36.8347031854,80.4447724638
35.4619740425,81.3225746931
41.9249992477,83.3029826805
36.8073050012,79.0106114913
37.8968766132,82.5222989119
31.4478566944,74.7749176061
26.8387857755,71.8261009644
28.8349877179,68.0002817733
26.8169917196,69.1416966199
30.7065853594,75.3453349296
41.6401708351,79.5368335838
32.9685799974,69.4401672861
38.3710925982,80.0257089412
36.4076008804,74.985338633
46.4578325209,93.2564715334
36.5154664477,83.9279690294
26.7868513106,69.0415597971
22.8915607014,70.4996585049
33.6454110708,73.0437393157
36.7015229123,74.0909732459
34.8311959448,78.5158009553
23.9424883937,69.0258009543
35.2399302169,78.0142784855
39.3342260821,76.8627945935
44.5048213234,83.4552716509
41.5045830715,83.369633722
35.2005501553,73.7081917213
33.8307111732,75.9109015419
31.422420631,69.6034861938
50.6714557502,97.748745832
25.0734655949,71.075551417
42.4763748035,87.9916615616
33.8287367164,79.2811150354
27.3028810405,69.9910405076
37.027761428,76.2358566927
40.8084849906,79.4404909029
36.3439194903,81.4591994307
42.0853734174,89.0765032074
32.2458829491,72.5953875548
30.6654629366,74.9215783721
26.9951191846,72.2757762485
32.7159484351,73.6438134083
40.7912939351,82.8175467785
36.0217665794,78.1352037281
47.8121527209,91.6729133283
32.9458338087,77.3441777407
30.1096333799,78.8598601901
31.1671930189,76.4842338053
27.3163280947,69.5292196608
33.9641135475,73.1703956843
24.3805324779,70.6209234416
44.1125960315,89.1021432407
34.4624461115,77.5109324932
40.1596595482,77.1104676298
39.0781711674,84.6474404285
31.9996699133,75.9760816361
37.8808314269,81.7510255399
25.9125650248,66.560766871
39.624679966,79.8878251
39.715325546,85.625409583
37.4016709236,80.6067005085
32.373776922,74.8033886136
35.3270284899,73.9639762787
39.4591647149,82.8644977357
39.1450053208,79.0786176054
37.3585370787,79.2885750555
33.8894011248,81.437602108
32.8163560936,77.1657244662
22.0944365269,64.5096925176
30.150607119,72.9750955809
31.2353434191,65.055846135
37.6012913617,78.6099016574
33.3052258758,73.8145075004
32.2348226304,78.6607241188
39.4359063165,79.1069918801
35.6264201129,79.8992802705
33.439816315,85.0998017844
42.2571370867,85.8158415463
33.874031227,75.7779917121
34.435624429,73.4078688585
33.4601334116,79.7824596335
28.7525866419,70.7182664067
28.8402762592,68.9295394671
41.157221652,78.811015721
44.2688333948,85.9857720345
25.4932534724,77.2917853862
36.4712801018,72.6469597277
43.3841334685,86.9230970579
35.6963616122,78.8840656452
31.4016591557,69.6156021836
39.0261206261,80.2200518636
35.3982035947,82.7618256605
34.459214874,74.8206773434
38.3855577117,83.7857075468
31.545710648,70.5929051434
48.076011081,92.5443986437
29.7933692122,76.7808215113
42.5981504758,85.5932979215
48.8649690743,87.5219089287
36.2599672178,83.3922038413
27.0029228664,70.7374261021
38.3111971705,83.6380517575
50.5513442683,81.6717755767
38.4629865217,79.5169719079
28.09337332,67.1250370192
32.5477525391,70.9560521075
25.8315606265,70.0424199693
29.7353879897,71.2463415303
30.8924582307,73.8809214006
28.5790798283,81.4863264099
46.790217134,86.6966954958
43.6148574117,81.1361216768
37.0940396324,82.7203374587
32.3412774035,73.8288984883
41.6223972524,78.8910066945
38.4074077065,83.4510722654
41.8903598516,81.962003208
31.4993934591,73.3727349522
36.6119072486,82.8690167353
52.201072816,92.5473795465
44.5360587071,77.7011850375
28.6161871226,68.8007526037
20.9150241427,62.441460334
38.5150511284,77.3502197256
45.6953036298,91.3024577535
36.1840469821,74.2956201664
26.2974793775,70.2632427564
33.2319741612,76.5376167568
51.9759618992,95.6255427859
49.9580982311,90.9085045286
33.3716725676,76.6610234063
30.6143916429,71.1153853902
43.029016781,86.7534876336
34.736005094,79.0025948605
28.9477054607,76.2698146226
30.8157936051,76.7720550386
34.3287617358,72.9394154839
24.2127217581,68.4814170984
33.2624448676,81.1865285364
31.3643086709,79.7863764683
28.5935068242,67.5732290506
29.7782075715,74.5807397242
35.1987866651,74.3229517632
36.3471926606,75.0128996142
35.0938623871,76.6504899624
31.4240570314,75.2711561354
33.3699969924,74.7287949149
38.5136347615,74.1485318657
33.4608945977,71.6151063401
30.0021617091,74.412666313
29.976476351,70.6604634112
26.4175043319,69.1224585817
47.1600524168,87.8786119915
38.458501763,85.2771276185
34.4382794055,77.0575897809
36.5562872763,81.1797887981
56.1376526727,93.4836508728
26.6613951509,73.7957099406
37.0079915309,80.3071932386
39.3018361479,82.9572947186
33.0296195181,75.0310768707
46.0306619317,86.6733053618
42.051892986,76.9468032664
34.7561940998,73.0617793629
28.8883491505,74.3237332335
28.3104292722,75.3727818741
42.388083536,89.7802092585
34.5058992875,80.741752123
30.0287971793,67.7556030025
37.5581966036,78.1392043087
35.122975758,78.6650378817
33.2356152502,69.9112324808
36.3363566762,79.8731437454
29.8054889925,70.025839659
33.2061946954,82.8816417919
25.2395952408,67.1543359453
42.1386014465,85.5065059278
50.3594020127,92.4650469345
37.168174093,84.6690285746
46.3899984717,91.3701381409
24.9768771397,70.46713633
40.6007823179,83.4300083249
33.9338478078,77.4523721044
22.943598083,64.482555807
42.6949262437,84.0374829532
42.5620870806,84.4513178759
36.4262676766,78.1492174744
31.2455033531,76.771930501
19.181549708,64.5244471576
31.7817451349,74.6829153649
40.5359824179,77.9572162135
35.106810893,78.0266840847
41.2141258029,81.2805296785
20.9564460095,65.9972072062
27.3368094529,72.7141769931
23.924992194,63.8244706908
30.270967961,71.4484750301
49.2695568599,94.9812148108
36.5739846744,72.6751067379
37.284969888,77.2847512828
31.08564634,72.7756522713
23.3266676548,69.6785214027
37.5875576734,78.6425579907
46.4024788676,82.382633553
44.9809784202,90.3799741139
37.1882895887,84.2094923356
34.9626308392,76.8041062644
32.4428521437,73.700574871
23.230960776,64.2439272085
36.3004722618,77.1665898925
31.6273190491,73.6176089313
38.9412720529,82.2091046196
29.2010117698,73.3409569372
30.6484856699,73.2596832313
37.9085807018,78.0428887613
31.7410110466,77.1889609682
37.7654180729,79.7146281984
27.7203706957,70.9772533238
36.2990973185,78.4041241804
32.8351982388,77.8648786568
45.2430781043,89.980170075
40.373899211,85.8300121267
42.6842336708,83.9042421121
35.6551404887,78.3179851549
37.5201690951,79.3069158244
31.0518015736,72.5646549957
33.8048510018,73.725536132
27.8192019668,68.2791647559
34.8610443773,71.0058718221
37.1319296225,82.4776910395
30.3391107568,77.5426744388
41.0244651377,85.38186456
29.9640328758,68.7628298385
26.4141316294,71.0306614172
20.0904181787,62.969548006
35.5888419981,79.9473726599
33.4918563147,74.8372230452
36.2002993987,80.002771315
38.5423257327,81.136834567
21.8995786669,75.7337527973
39.2013595787,75.8243732399
45.3682473355,86.42288107
30.6508473068,76.5206953693
44.2094046825,86.173916137
32.4128568754,73.3268304856
33.3707833738,77.4893624678
36.0939543371,78.0114236645
42.6251204707,86.6240222854
35.5845924465,77.1900370959
34.9827879353,81.6706343929
27.4753710017,65.3021544036
37.0636012603,76.555599702
36.8694333648,78.375423376
29.7205593137,66.7185082943
29.4137771615,68.7321922185
34.195914065,74.896447246
29.2973252374,68.0035156761
24.3622058544,65.5962189453
23.3530090232,71.8484138188
33.0189491185,73.0262934955
25.2070536324,69.6982827469
29.9854566063,72.3184090151
28.3220846817,74.3624902116
37.5603692739,77.3828375126
24.2161655328,62.854897725
34.4289689802,78.078535734
36.4903160092,74.2860075521
26.5967680098,69.0268687034
23.8374356225,64.4882379346
44.6114693931,84.773405096
39.1442130956,78.7667866213
36.8344237304,79.5701175644
36.2417418554,72.4645791672
34.2624623753,80.7559025695
33.6723471868,75.9203302599
42.6590559845,84.9527267017
35.7892582437,74.8832468334
34.7361437673,76.2780193776
28.6362357535,74.6801589978
36.3380364951,74.2592678583
26.0690738423,69.8069509444
30.7693854141,71.4219664917
42.0143948918,82.9423289612
29.3884673243,77.3892239883
21.5371694786,56.7846419761
34.3815807771,80.1485205027
33.2668249238,76.1084109123
44.1361180464,83.8348561011
37.8795474494,79.8409987429
34.6105997083,72.2699416701
28.0569232898,67.7915610625
42.7900289193,83.1297051429
44.5086620235,84.0545087996
41.1926321478,85.8948184331
29.1420926442,74.0916572763
32.842137737,78.0725200589
34.9535069623,73.8198573483
32.6012948914,77.9749745791
29.5351259553,68.7326239839
40.7714888518,82.8199711132
33.2983962093,76.6526053083
34.4463780685,75.8069959701
38.0321497274,76.9301032904
35.0449586199,82.3311126742
26.8415372677,76.1526328276
38.0245634514,77.7267121919
43.0260894401,87.3662561293
29.8134125584,77.3092962581
28.4850925942,73.2517415649
30.9421619077,73.3057389997
37.981936511,78.1776310013
31.4952707067,78.2496451589
34.0504350703,76.9296449567
39.5669969394,81.5020233286
35.464991868,75.0116067673
29.3155707814,70.6784596189
36.0828179745,84.9361324847
29.5813178106,70.9830380268
47.0156963625,81.230250511
35.6572956551,71.7980954778
30.759131296,71.1810083302
36.8354960637,75.3261343692
35.4460673005,74.9110084152
39.9310178661,83.8223537402
34.4633927546,74.0921447969
31.0127117526,74.7106430078
40.3958144895,79.9553040768
28.4974649746,76.4379688518
46.2434943621,87.8546047285
38.2517996861,78.9546994395
44.2455939328,86.7487553445
36.8209268836,83.9947510637
35.9644782976,75.1120091289
29.6226138132,71.0848493035
28.1892256444,76.8314329882
37.8590319716,78.6772576754
31.6316627,74.0740264995
44.2787339718,84.8681368853
24.5713840058,65.8981427166
30.9454709729,71.9161633092
26.3494569227,74.7204734948
34.7517996064,79.4797159913
40.1748077225,84.7598734644
30.9949412796,72.2689547951
31.4065078179,69.0536813935
23.4932384116,66.940077378
37.235622346,85.7027792398
36.4766989951,79.5516048206
23.9381693596,65.9655097082
31.8020890949,77.8617012936
31.4320741095,68.4202798212
30.6491720936,69.8212389982
50.3536403978,83.359372783
35.5764019842,73.8803191336
36.8747940022,81.4769802172
40.6763920542,81.1347406495
34.8999848105,81.6586411914
30.9366835412,73.3211191424
36.9189823962,80.018091908
32.7338958815,71.5058850358
52.378668227,88.5858239799
28.2727557426,69.3989359432
19.5713465368,69.4414082664
27.7376410195,71.7686480679
32.2482801942,76.8893294489
52.3805873516,97.3324142304
31.6146429352,77.6280597745
31.8504476874,74.2595847856
34.5997010208,78.3589294311
35.8258238741,80.542100933
24.7775467094,69.6089921663
32.6309613638,79.3926097719
37.5415014618,77.3842873711
22.5309331222,62.8276696938
35.8630925517,81.7498085792
44.6711743214,80.9852610607
24.0019331756,66.6239249853
38.5517659093,85.3268357821
39.2431730196,79.2622036709
29.0313962109,70.2262373449
36.6386194798,83.2340991395
