"STATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024233","2000-01-12","3.9"," 2359"," 2358","5.3",,,"1.7","3.3","0.0",,"  200","  210","0.0","10.7","13.9","    1","    1",,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00024233","2000-01-13","2.0"," 1744"," 2133","2.5",,,"3.3","4.4","2.2",,"   30","   40","0.0","4.5","4.9","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00024233","2000-01-14","4.6"," 1408"," 1407","7.4",,,"5.0","6.7","2.8",,"  210","  210","0.0","12.5","16.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-15","4.2"," 0547"," 2121","0.0",,,"3.9","6.1","1.1",,"  200","  110","0.0","7.2","9.8",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-16","7.7"," 1437"," 1436","7.1",,,"6.1","10.0","2.2",,"  200","  200","0.0","17.9","23.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-17","2.7"," 0217"," 0216","0.3",,,"5.6","9.4","1.7",,"  200","  200","0.0","7.2","8.9",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-01-18","3.6"," 1434"," 1411","0.0",,,"2.2","5.0","-1.1",,"   10","   30","0.0","7.2","8.0","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-19","3.5"," 0940"," 0723","2.3",,,"2.8","6.7","-1.7",,"   10","   30","0.0","6.3","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00024233","2000-01-20","2.9"," 0250"," 0249","3.6",,,"5.0","8.3","1.7",,"  120","  120","0.0","6.7","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-21","2.9"," 1126"," 1133","4.8",,,"6.7","8.9","3.9",,"  240","  230","0.0","7.6","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-22","1.6"," 0250"," 0247","0.5",,,"5.6","7.8","2.8",,"   30","   40","0.0","4.5","4.9","    1",,,,,,,,,,,,,"    1",,,,"    1",,,
"USW00024233","2000-01-23","3.8"," 1626"," 2050","0.0",,,"4.4","7.8","0.6",,"   10","   40","0.0","6.3","7.2","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-24","4.1"," 0827"," 0827","0.0",,,"5.6","10.6","0.6",,"   30","   30","0.0","8.9","9.8","    1",,,,,,,,,,,"    1",,"    1",,,,"    1",,,
"USW00024233","2000-01-25","3.5"," 1317"," 1421","2.5",,,"6.1","8.9","3.3",,"  220","  230","0.0","7.6","9.4","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-01-26","2.4"," 0548"," 0542","0.0",,,"4.4","6.7","1.7",,"  220","  220","0.0","4.9","6.7","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-27","1.7"," 1548"," 1524","0.0",,,"5.0","8.3","1.7",,"   10","   40","0.0","4.5","5.8","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-01-28","2.1"," 2208"," 2205","0.0",,,"3.9","8.9","-1.7",,"  130","  110","0.0","5.8","6.7","    1","    1",,,,,,"    1",,,"    1",,,,,,,"    1","    1",,
"USW00024233","2000-01-29","4.7"," 2122"," 2044","0.0",,,"6.1","11.1","1.1",,"  120","  120","0.0","9.8","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-01-30","6.4"," 0810"," 0921","0.8",,,"6.1","8.3","3.9",,"  120","  110","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-01-31","3.0"," 2002"," 1911","11.7",,,"6.7","10.0","2.8",,"  120","  120","0.0","8.0","9.8","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-01","6.0"," 0858"," 0858","34.0",,,"7.2","9.4","5.0",,"  220","  220","0.0","11.6","16.5","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-02","4.1"," 0043"," 0018","0.0",,,"5.6","7.8","3.3",,"  210","  220","0.0","8.9","10.7","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-03","6.7"," 1350"," 1349","0.0",,,"10.0","15.0","4.4",,"   90","   90","0.0","12.5","14.8","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-04","2.1"," 0115"," 0124","0.0",,,"8.9","12.8","4.4",,"  110","  100","0.0","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-05","2.5"," 2047"," 2047","1.5",,,"7.8","13.3","2.2",,"   90","   90","0.0","5.8","6.3",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-06","2.1"," 2343"," 0842","0.0",,,"10.0","13.9","6.1",,"   50","  120","0.0","4.5","5.8",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-07","3.4"," 1313"," 1312","8.6",,,"8.9","11.1","6.1",,"  230","  240","0.0","6.3","7.6","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-08","4.1"," 1638"," 1637","18.8",,,"7.2","9.4","5.0",,"  210","  220","0.0","10.7","13.4","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-09","3.0"," 0126"," 0126","0.3",,,"6.7","9.4","3.3",,"  190","  200","0.0","5.8","7.2",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-10","4.0"," 2119"," 2005","0.0",,,"5.0","8.9","0.6",,"   20","   10","0.0","6.3","7.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-02-11","2.1"," 2231"," 2257","0.0",,,"5.6","8.9","2.2",,"   10","   40","0.0","4.5","4.9","    1",,,,,,,,,,,,,"    1",,,,"    1",,,
"USW00024233","2000-02-12","3.2"," 0824"," 0836","0.0",,,"3.9","5.6","2.2",,"   30","   30","0.0","6.3","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-13","3.7"," 2324"," 2323","0.3",,,"4.4","8.9","0.0",,"  100","   90","0.0","7.2","9.4",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-14","4.2"," 2213"," 2202","12.7",,,"3.9","5.6","2.2",,"  230","  230","0.0","6.7","8.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-15","3.4"," 0439"," 0225","0.3",,,"6.1","8.3","3.3",,"  200","  200","0.0","7.2","9.8",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-16","4.8"," 1103"," 1103","0.0",,,"5.0","7.8","1.7",,"   10","   10","0.0","8.9","9.8","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-02-17","2.1"," 0111"," 0115","0.0",,,"4.4","8.9","-0.6",,"   30","   30","0.0","5.8","6.7","    1",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-02-18","1.3"," 2318"," 1544","0.0",,,"4.4","9.4","-0.6",,"  120","   10","0.0","3.1","4.0","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-02-19","3.9"," 1947"," 1824","0.0",,,"6.1","12.8","-0.6",,"  120","  120","0.0","8.9","10.3","    1",,,,,,,,,,,,,,,,,"    1",,,
"USW00024233","2000-02-20","3.0"," 1928"," 0024","0.0",,,"8.9","14.4","2.8",,"  120","  110","0.0","6.7","8.0",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-02-21","2.2"," 2306"," 2308","4.8",,,"7.8","8.9","6.1",,"  130","  130","0.0","4.5","4.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-22","3.8"," 0932"," 0925","15.5",,,"6.7","9.4","3.9",,"  220","  240","0.0","9.4","11.6","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-23","2.9"," 1535"," 1533","0.0",,,"6.7","9.4","3.3",,"  280","  290","0.0","6.3","8.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-02-24","2.2"," 1636"," 1636","0.0",,,"5.0","8.3","1.1",,"  190","  180","0.0","6.7","8.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-25","3.6"," 2250"," 1304","6.9",,,"5.0","9.4","0.6",,"  180","  200","0.0","6.3","8.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-26","3.4"," 2206"," 2004","6.4",,,"7.2","10.0","3.9",,"  120","  100","0.0","6.7","8.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-27","2.6"," 0450"," 0449","4.3",,,"8.3","11.1","5.6",,"  120","  110","0.0","5.8","6.3","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-02-28","3.2"," 1323"," 1322","2.8",,,"7.2","8.9","5.0",,"  190","  180","0.0","8.0","10.7","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-02-29","4.1"," 1617"," 1658","16.3",,,"8.3","11.1","5.6",,"  190","  170","0.0","8.0","9.8","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-01","2.4"," 0102"," 0136","0.0",,,"6.7","8.9","3.9",,"  210","  210","0.0","6.7","8.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-02","2.7"," 1344"," 1343","9.4",,,"8.3","10.6","5.6",,"  220","  230","0.0","6.3","7.6","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-03","2.8"," 0814"," 0807","8.6",,,"7.8","8.9","6.7",,"  130","  130","0.0","5.8","6.7","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-03-04","2.3"," 0420"," 0416","9.9",,,"4.4","6.7","2.2",,"   10","   10","0.0","7.2","8.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-05","1.8"," 1317"," 1401","0.0",,,"4.4","7.8","1.1",,"  360","  360","0.0","6.7","7.6","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-06","1.5"," 1528"," 1527","0.0",,,"4.4","8.3","0.0",,"  230","  200","0.0","4.5","5.8","    1","    1",,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-03-07","2.4"," 1759"," 1758","0.0",,,"6.7","11.7","1.1",,"   30","   30","0.0","6.3","7.2",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-03-08","1.5"," 0035"," 0034","1.0",,,"7.2","8.3","5.6",,"  110","  120","0.0","4.9","6.3","    1",,,,,,,,,,"    1","    1",,"    1",,,,"    1",,,
"USW00024233","2000-03-09","1.7"," 2350"," 0609","1.3",,,"7.8","10.6","4.4",,"  120","   20","0.0","3.6","4.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-10","2.2"," 2339"," 1621","2.5",,,"7.8","13.3","1.7",,"  220","  210","0.0","6.7","8.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-11","4.6"," 1333"," 1333","0.8",,,"6.7","9.4","3.3",,"  230","  230","0.0","12.5","19.7",,,,"    1","    1",,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-12","2.1"," 1909"," 2112","0.0",,,"5.6","8.3","2.2",,"  120","  130","0.0","4.5","5.8",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-03-13","3.3"," 2311"," 2305","11.7",,,"10.0","14.4","5.6",,"  230","  230","0.0","12.5","17.4","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-14","5.9"," 1245"," 0222","0.8",,,"6.1","9.4","2.8",,"  230","  230","0.0","13.0","17.0","    1",,,"    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-15","1.3"," 1942"," 2326","1.0",,,"5.6","10.0","1.1",,"   90","  220","0.0","4.9","6.7","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-16","6.4"," 1107"," 1245","5.6",,,"7.8","10.6","4.4",,"  220","  220","0.0","11.6","16.5","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-17","5.8"," 1429"," 1428","1.3",,,"6.1","7.8","4.4",,"  200","  210","0.0","10.7","13.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-18","5.8"," 1743"," 1457","4.6",,,"7.2","10.0","4.4",,"  230","  220","0.0","10.7","14.3","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-03-19","4.1"," 0650"," 0647","0.0",,,"5.6","7.8","2.8",,"  200","  230","0.0","8.0","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-20","2.0"," 2217"," 2217","0.0",,,"5.0","9.4","0.0",,"  150","  150","0.0","4.5","4.9","    1","    1",,,,,,,,,"    1",,,,,,,"    1",,,
"USW00024233","2000-03-21","1.9"," 0759"," 0758","0.0",,,"9.4","12.8","6.1",,"  150","  160","0.0","5.8","7.6",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-22","4.9"," 1929"," 1928","11.2",,,"7.8","11.1","4.4",,"  220","  210","0.0","9.8","12.5","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-23","4.4"," 1248"," 1143","0.0",,,"7.2","10.6","3.3",,"  200","  200","0.0","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-24","2.1"," 2336"," 1405","0.0",,,"7.2","12.2","1.7",,"   30","  340","0.0","4.0","5.8",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-25","1.4"," 1957"," 1526","0.0",,,"7.2","10.6","3.9",,"   20","   50","0.0","4.0","4.5",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-26","2.4"," 2244"," 2243","0.0",,,"8.3","14.4","1.7",,"  250","  240","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-27","4.6"," 2008"," 1340","1.5",,,"7.8","10.0","5.6",,"  210","  240","0.0","8.0","11.2",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-03-28","3.9"," 1305"," 1249","0.3",,,"6.7","10.0","3.3",,"  210","  210","0.0","9.4","11.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-29","2.2"," 1609"," 1622","0.3",,,"6.7","11.1","1.7",,"  360","   20","0.0","4.9","6.3","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-03-30","2.6"," 1335"," 1633","0.0",,,"8.9","14.4","2.8",,"   10","   10","0.0","6.3","7.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-03-31","2.5"," 1650"," 1618","0.0",,,"11.1","16.7","5.0",,"   10","  360","0.0","6.3","7.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-01","2.2"," 1736"," 1040","0.0",,,"12.8","17.8","7.2",,"   20","  330","0.0","6.3","7.6",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-02","1.7"," 1703"," 1703","0.0",,,"11.7","17.2","6.1",,"   10","  360","0.0","4.9","7.2","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-04-03","2.0"," 1538"," 1357","0.0",,,"13.3","20.0","6.7",,"  360","  360","0.0","5.8","7.2","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00024233","2000-04-04","4.2"," 1502"," 1459","0.0",,,"8.3","12.2","3.9",,"  240","  230","0.0","10.3","14.3","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00024233","2000-04-05","5.6"," 2205"," 2048","0.5",,,"7.2","9.4","4.4",,"  210","  230","0.0","8.9","10.7",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-06","3.5"," 0312"," 0319","3.0",,,"7.2","10.0","3.9",,"  210","  220","0.0","9.4","11.6","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-07","4.0"," 2019"," 2030","0.0",,,"9.4","15.0","3.3",,"   20","   30","0.0","8.0","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-08","4.6"," 0807"," 0810","0.0",,,"11.1","16.7","5.6",,"   10","  360","0.0","9.8","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-09","2.6"," 0319"," 1631","0.0",,,"10.6","12.8","7.8",,"  210","  250","0.0","4.9","6.3",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-04-10","2.5"," 1150"," 1637","0.0",,,"11.7","17.2","5.6",,"   10","  350","0.0","5.8","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-11","2.5"," 2019"," 1239","0.0",,,"13.9","20.0","7.2",,"   10","  290","0.0","4.5","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-12","1.3"," 1803"," 1132","0.0",,,"14.4","19.4","8.9",,"  160","  230","0.0","3.6","4.5",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-13","3.8"," 1907"," 1918","8.9",,,"12.2","15.0","9.4",,"  200","  190","0.0","9.8","12.5","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-14","4.9"," 1250"," 1514","3.6",,,"9.4","11.1","7.8",,"  200","  220","0.0","8.0","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-15","3.4"," 1719"," 1412","3.3",,,"10.6","13.3","7.8",,"  150","  210","0.0","5.8","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-04-16","3.0"," 0931"," 0448","0.0",,,"9.4","11.7","7.2",,"   20","   30","0.0","6.3","7.6",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-17","3.6"," 0830"," 0827","0.0",,,"11.7","16.7","6.1",,"   10","   10","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-18","2.9"," 1512"," 1737","0.0",,,"11.7","17.2","6.1",,"  230","  240","0.0","7.2","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-19","2.7"," 1233"," 0313","0.0",,,"11.7","15.6","7.8",,"  240","  220","0.0","4.9","6.7",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-20","1.8"," 1309"," 1525","0.0",,,"13.3","17.8","8.3",,"  280","  270","0.0","4.0","4.5",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-21","2.6"," 1631"," 1629","2.5",,,"12.8","17.2","8.3",,"  240","  240","0.0","6.3","7.6",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-22","5.5"," 1419"," 0146","0.3",,,"9.4","12.2","6.7",,"  220","  210","0.0","9.4","12.5",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-23","4.6"," 1108"," 1107","2.5",,,"7.2","11.1","2.8",,"  190","  200","0.0","9.4","13.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-24","2.9"," 2334"," 2333","0.0",,,"7.2","12.8","1.7",,"  130","  130","0.0","5.8","6.7",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-25","3.4"," 1704"," 1704","8.6",,,"8.9","11.7","5.6",,"  210","  210","0.0","8.9","10.7",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-26","2.6"," 2115"," 2114","0.0",,,"11.1","16.7","5.0",,"  120","  120","0.0","6.7","8.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-27","3.1"," 1428"," 1325","1.8",,,"11.1","16.1","5.6",,"  250","  240","0.0","7.2","10.3",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-28","4.6"," 1427"," 1427","2.5",,,"8.3","11.1","5.0",,"  250","  260","0.0","9.4","11.6",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-04-29","2.4"," 1937"," 1937","0.0",,,"8.3","13.3","3.3",,"   40","   40","0.0","7.2","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-04-30","1.9"," 1658"," 1657","0.0",,,"13.3","18.3","7.8",,"  280","  280","0.0","4.9","6.7",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-01","1.7"," 1015"," 1014","4.1",,,"12.8","16.7","8.9",,"  240","  230","0.0","4.5","6.3","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-02","2.2"," 1907"," 1906","0.5",,,"13.3","17.2","9.4",,"  160","  150","0.0","8.0","10.7",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-03","4.0"," 1406"," 1405","6.1",,,"10.6","13.3","7.2",,"  240","  240","0.0","8.9","12.5","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-04","3.6"," 1136"," 1129","6.1",,,"9.4","12.2","6.7",,"  200","  220","0.0","8.9","11.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-05","3.9"," 1405"," 1406","2.0",,,"8.9","11.7","5.6",,"  230","  240","0.0","9.8","11.6","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-06","3.2"," 1832"," 1834","0.0",,,"9.4","15.0","3.9",,"   10","  360","0.0","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-07","2.9"," 1020"," 1027","0.0",,,"11.1","16.7","5.6",,"   20","   30","0.0","5.8","7.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-08","2.0"," 0609"," 2149","3.0",,,"10.0","12.2","7.8",,"   10","  210","0.0","6.7","8.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-09","3.9"," 2001"," 2000","18.8",,,"8.9","11.1","6.7",,"  200","  200","0.0","8.9","11.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-10","4.1"," 2340"," 2327","15.5",,,"8.9","11.7","5.6",,"  210","  220","0.0","7.2","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-11","5.6"," 1531"," 1530","0.0",,,"10.0","13.9","6.1",,"  200","  200","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-12","3.0"," 1821"," 1515","0.0",,,"10.0","14.4","5.0",,"   10","  310","0.0","4.5","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-13","3.2"," 0926"," 0924","0.0",,,"12.8","16.7","8.3",,"   10","   10","0.0","7.2","8.0",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-14","3.0"," 0450"," 0144","0.0",,,"17.2","22.8","11.7",,"   10","   20","0.0","4.9","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-15","2.6"," 0835"," 0833","0.0",,,"15.6","21.1","10.0",,"  230","  220","0.0","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-16","3.2"," 2028"," 1936","0.0",,,"15.0","20.6","9.4",,"  210","  210","0.0","6.7","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-17","3.4"," 0210"," 0703","0.0",,,"12.2","15.0","9.4",,"  170","  220","0.0","6.3","7.2",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-18","2.3"," 1618"," 1623","10.2",,,"12.8","16.7","8.9",,"  230","  250","0.0","4.9","6.3","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-19","3.5"," 1237"," 1237","0.0",,,"14.4","17.8","11.1",,"  210","  210","0.0","7.2","8.9",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00024233","2000-05-20","2.5"," 1942"," 2050","0.0",,,"13.9","16.1","11.1",,"  200","  200","0.0","5.8","6.7",,,,,,,,,,,,,,"    1",,,,,,,
"USW00024233","2000-05-21","3.7"," 1630"," 1623","2.3",,,"15.6","19.4","11.7",,"  230","  220","0.0","7.2","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00024233","2000-05-22","2.5"," 1503"," 1241","0.0",,,"13.9","17.2","10.0",,"  280","  230","0.0","5.8","7.6",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-23","3.5"," 0210"," 1409","0.0",,,"13.9","17.2","10.0",,"   70","  300","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-24","2.0"," 0124"," 2041","0.0",,,"13.3","18.9","7.2",,"   30","  360","0.0","4.9","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00024233","2000-05-25","3.3"," 1444"," 1448","0.0",,,"11.7","16.7","6.1",,"  220","  220","0.0","6.7","8.0",,,,,,,,,,,,,,"    1",,,,,,,
