,fathers,sons
370,71.5,70.0
371,71.6,69.7
372,73.2,69.9
373,63.9,70.9
374,66.0,71.4
375,66.0,71.2
376,67.5,70.8
377,66.7,70.7
378,68.3,71.3
379,67.7,70.9
380,68.3,70.9
381,68.4,70.9
382,69.1,71.2
383,69.1,71.3
384,69.7,71.2
385,70.0,71.4
386,69.6,71.6
387,70.0,71.0
388,70.9,71.2
389,70.6,71.4
390,72.3,71.4
391,71.5,70.9
392,73.0,71.3
393,66.2,72.1
394,67.3,72.0
395,67.8,72.0
396,69.1,71.7
397,69.4,71.9
398,69.6,72.2
399,70.1,72.3
400,70.2,72.6
401,71.3,72.0
402,72.1,71.8
403,72.3,71.8
404,67.1,73.1
405,67.9,73.4
406,69.1,73.2
407,69.6,73.4
408,69.7,73.2
409,70.5,72.9
410,72.4,72.8
411,72.8,73.3
412,68.1,74.0
413,68.6,74.6
414,71.3,73.9
415,72.1,74.6
416,74.7,74.3
417,71.2,75.1
418,68.3,77.2
419,60.4,60.8
420,63.9,62.4
421,63.1,66.4
422,64.0,58.5
423,73.9,70.0
424,72.0,71.0
425,61.0,65.0
426,65.4,70.5
427,72.0,69.2
428,71.3,64.9
429,65.2,68.8
430,68.9,69.9
431,64.5,62.5
432,64.0,63.3
433,66.5,63.5
434,67.1,62.9
435,62.3,63.9
436,63.8,64.3
437,65.4,64.2
438,65.6,64.6
439,66.2,64.3
440,67.6,63.8
441,60.2,65.7
442,63.0,64.8
443,63.6,65.6
444,65.2,64.7
445,65.1,64.8
446,64.8,65.1
447,66.2,65.6
448,66.2,65.3
449,66.6,65.1
450,68.0,65.1
451,69.0,64.8
452,62.1,66.0
453,63.2,66.4
454,64.5,66.4
455,63.8,66.3
456,64.6,65.8
457,64.6,66.1
458,66.1,66.5
459,66.0,66.3
460,65.7,66.6
461,67.1,66.0
462,67.3,66.5
463,67.2,66.0
464,68.4,66.5
465,67.6,66.4
466,67.6,66.3
467,68.5,66.3
468,70.0,66.6
469,61.1,66.8
470,62.7,67.5
471,64.3,67.2
472,64.1,66.8
473,63.7,67.3
474,64.7,66.8
475,64.7,66.9
476,68.0,68.1
477,64.6,63.6
478,66.1,63.2
479,65.3,65.7
480,69.7,67.2
481,65.3,67.4
482,65.5,67.6
483,66.1,67.2
484,66.2,67.1
485,66.0,66.8
486,66.0,67.1
487,65.9,66.9
488,67.1,66.8
489,67.0,67.0
490,67.4,67.7
491,67.4,67.6
492,67.3,67.7
493,68.3,67.3
494,68.3,67.0
495,67.6,67.0
496,68.2,67.1
497,69.1,67.2
498,68.8,67.5
499,70.5,67.7
500,70.0,66.9
501,69.5,67.0
502,61.5,67.7
503,62.9,68.5
504,64.1,67.9
505,63.9,67.8
506,65.1,68.3
507,64.6,68.2
508,65.9,68.6
509,66.2,67.8
510,65.7,67.9
511,66.1,67.7
512,66.3,68.0
513,67.2,68.1
514,66.9,67.8
515,66.9,68.1
516,66.6,68.2
517,67.2,68.6
518,67.1,68.3
519,67.9,68.4
520,67.9,68.6
521,67.8,68.3
522,67.9,67.9
523,68.6,67.7
524,68.6,68.4
525,69.0,68.1
526,69.0,68.0
527,69.1,68.2
528,68.5,68.1
529,70.2,68.5
530,69.8,68.6
531,69.9,67.7
532,71.5,68.7
533,72.4,68.6
534,71.9,68.4
535,61.0,69.1
536,63.0,69.4
537,64.6,69.5
538,65.4,69.1
539,64.8,69.6
540,65.5,69.4
541,65.6,69.2
542,66.1,68.8
543,67.4,69.1
544,66.6,69.0
545,67.4,69.1
546,67.2,69.1
547,68.2,68.7
548,67.9,69.0
549,68.0,69.0
550,67.7,69.2
551,68.9,68.8
552,68.7,68.7
553,69.1,69.0
554,68.8,69.3
555,68.8,69.4
556,69.3,68.9
557,69.6,69.3
558,69.8,69.6
559,70.2,69.4
560,70.1,69.0
561,71.1,69.5
562,71.4,68.7
563,71.8,69.2
564,64.4,70.4
565,65.2,70.1
566,66.1,70.4
567,65.8,70.0
568,65.5,69.8
569,66.7,70.4
570,67.2,70.0
571,67.2,70.3
572,68.1,69.9
573,67.9,70.7
574,68.2,70.3
575,69.3,69.7
576,68.8,70.3
577,69.2,70.0
578,68.7,69.7
579,69.5,70.2
580,70.0,70.0
581,69.7,70.3
582,70.2,70.4
583,70.8,69.8
584,70.9,69.8
585,71.3,70.5
586,72.3,70.0
587,72.8,70.6
588,64.4,71.1
589,64.9,71.2
590,65.8,71.0
591,67.4,70.9
592,67.4,70.8
593,67.9,71.5
594,67.9,71.6
595,68.5,70.8
596,67.6,71.0
597,69.4,71.6
598,69.3,71.1
599,69.5,71.5
600,70.2,71.4
601,70.0,71.5
602,69.8,71.0
603,69.6,71.6
604,71.5,71.4
605,72.2,71.2
606,72.4,70.9
607,72.5,71.5
608,64.7,72.4
609,66.8,72.6
610,67.8,71.8
611,68.2,72.0
612,69.2,72.0
613,68.9,72.4
614,70.1,71.9
615,70.1,72.1
616,71.0,72.6
617,71.4,72.5
618,72.0,71.8
619,72.7,72.6
620,68.0,73.1
621,69.0,73.2
622,68.9,73.4
623,69.6,73.4
624,71.2,73.7
625,72.0,72.8
626,72.9,73.0
627,65.9,74.7
628,68.5,73.9
629,70.7,74.4
630,72.3,74.0
631,72.6,73.9
632,68.8,75.7
633,73.5,76.1
634,70.1,78.2
635,67.9,61.9
636,64.7,69.9
637,60.8,62.3
638,74.9,71.4
639,70.6,71.6
640,60.9,65.5
641,65.3,71.9
642,71.4,71.2
643,71.7,64.5
644,62.7,65.3
645,71.4,69.6
646,66.6,65.1
647,67.2,61.0
648,62.5,63.1
649,64.9,63.6
650,66.9,63.5
651,62.4,63.8
652,63.6,64.2
653,65.4,64.7
654,65.0,64.1
655,66.4,64.4
656,66.7,64.6
657,59.5,64.8
658,63.0,65.2
659,64.1,65.6
660,64.1,65.6
661,64.5,64.9
662,65.2,65.6
663,66.3,65.7
664,66.0,65.6
665,66.8,65.1
666,68.2,64.9
667,68.7,65.7
668,61.3,66.5
669,63.3,66.2
670,63.9,65.9
671,64.1,66.3
672,64.8,66.3
673,64.6,66.2
674,66.2,66.1
675,66.5,66.2
676,66.4,65.8
677,67.3,66.6
678,67.4,66.5
679,67.3,66.3
680,67.7,66.5
681,68.4,66.3
682,67.8,65.9
683,69.3,66.6
684,69.7,66.6
685,60.0,67.3
686,62.1,67.4
687,63.6,67.5
688,63.8,66.9
689,64.5,67.1
690,64.7,67.0
691,65.4,66.9
692,65.1,68.1
693,69.3,67.5
694,67.7,63.0
695,64.9,67.4
696,69.5,68.8
697,65.1,66.9
698,65.0,67.3
699,65.6,67.2
700,65.9,67.1
701,65.7,67.1
702,65.9,67.2
703,65.9,66.7
704,67.4,66.8
705,66.5,67.4
706,67.4,67.4
707,67.2,67.0
708,67.3,67.4
709,68.1,66.9
710,68.0,66.9
711,68.0,66.8
712,68.4,66.8
713,68.8,67.2
714,69.5,67.5
715,70.2,67.7
716,69.7,67.1
717,70.2,67.6
718,61.1,68.0
719,62.7,68.7
720,64.3,68.4
721,64.3,68.0
722,65.0,68.6
723,64.8,68.5
724,66.2,67.8
725,66.1,68.1
726,66.4,68.2
727,66.2,68.5
728,65.9,68.6
729,67.0,68.7
730,67.5,68.4
731,66.7,68.5
732,66.7,68.6
733,67.3,67.9
734,67.1,68.0
735,67.8,68.0
736,68.4,68.6
737,67.7,68.1
738,68.1,67.9
739,67.7,68.6
740,69.0,67.9
741,69.2,68.6
742,69.3,68.7
743,69.3,68.4
744,68.8,68.2
745,69.6,68.3
746,69.6,68.1
747,69.9,67.8
748,70.6,68.2
749,72.3,68.0
750,71.6,68.0
751,72.9,68.1
752,63.3,69.2
753,64.3,69.2
754,65.1,68.9
755,65.2,69.3
756,65.9,69.5
757,66.0,69.0
758,65.6,69.3
759,65.8,69.6
760,66.9,69.4
761,67.0,69.0
762,67.4,69.3
763,67.9,69.1
764,67.8,69.3
765,68.4,69.3
766,68.3,68.7
767,68.4,69.5
768,68.7,69.5
769,69.0,68.9
770,69.3,68.8
771,68.8,69.4
772,68.9,68.8
773,69.8,69.1
774,69.7,69.2
775,70.4,69.3
776,70.3,68.8
777,71.0,69.1
778,71.3,69.4
779,72.0,68.7
780,63.3,70.4
781,64.9,70.5
782,65.7,70.1
783,66.1,69.8
784,66.5,70.3
785,66.1,70.3
786,66.7,69.7
787,67.1,70.1
788,67.6,70.4
789,68.2,69.9
790,68.3,69.8
791,68.1,69.9
792,69.2,70.3
793,69.2,70.2
794,68.5,70.4
795,68.8,70.4
796,69.7,70.7
797,69.9,69.7
798,70.5,70.5
799,71.2,70.5
800,70.6,70.5
801,70.5,70.5
802,72.4,70.3
803,73.2,70.3
804,64.1,71.4
805,64.6,71.0
806,65.7,71.6
807,67.1,70.9
808,66.8,71.4
809,68.4,71.5
810,68.3,71.2
811,68.3,71.6
812,68.4,71.6
813,68.7,71.3
814,68.7,71.1
815,69.0,71.5
816,70.2,71.0
817,69.9,71.5
818,70.2,70.9
819,70.2,71.4
820,71.4,71.3
821,70.7,71.2
822,72.4,71.5
823,73.0,70.8
824,64.7,72.7
825,67.1,72.0
826,67.8,72.3
827,68.4,72.2
828,69.2,72.4
829,68.6,72.0
830,69.9,71.8
831,70.2,72.5
832,70.5,72.6
833,71.0,71.9
834,71.8,72.6
835,72.8,72.4
836,68.0,73.1
837,67.8,73.6
838,69.3,73.3
839,70.5,73.1
840,71.4,73.7
841,72.3,73.6
842,71.9,72.9
843,64.6,73.9
844,67.8,74.3
845,69.9,73.9
846,70.9,74.2
847,72.7,74.5
848,69.0,75.1
849,72.4,76.4
850,69.1,78.4
851,70.2,61.2
852,72.4,72.6
853,59.6,64.9
854,73.3,73.0
855,68.1,71.8
856,63.2,65.3
857,66.0,60.9
858,71.5,72.1
859,68.1,71.0
860,65.3,61.7
861,70.4,67.5
862,68.4,64.4
863,61.9,63.3
864,65.0,63.5
865,66.2,63.7
866,59.5,63.9
867,62.8,63.9
868,63.9,63.9
869,64.6,64.1
870,65.6,64.7
871,66.3,64.4
872,70.6,63.9
873,62.1,64.8
874,64.4,65.3
875,64.4,65.2
876,64.9,65.5
877,65.3,65.2
878,65.2,65.4
879,66.1,65.6
880,66.1,64.7
881,67.4,64.8
882,67.8,65.6
883,70.3,65.4
884,63.2,66.5
885,63.7,65.7
886,64.1,66.1
887,64.7,66.3
888,65.1,66.6
889,65.9,66.4
890,65.7,66.5
891,66.0,66.3
892,67.3,66.4
893,66.7,66.3
894,66.6,66.1
895,66.8,66.5
896,68.2,66.3
897,67.5,66.1
898,68.4,65.9
899,69.1,65.7
900,70.8,66.1
901,61.7,67.6
902,63.0,67.4
903,64.3,67.0
904,63.9,67.2
905,65.5,67.2
906,64.7,67.4
907,64.7,67.4
908,67.5,68.2
909,66.8,62.7
910,65.0,66.3
911,69.4,65.7
912,63.7,68.4
913,64.6,67.5
914,66.0,67.2
915,66.0,67.2
916,66.5,67.5
917,66.3,66.9
918,65.7,67.7
919,66.9,67.0
920,66.7,66.7
921,66.5,66.8
922,67.1,67.4
923,67.0,66.9
924,67.6,67.5
925,67.6,66.9
926,67.5,67.0
927,68.1,66.9
928,68.6,67.0
929,68.5,67.1
930,69.2,67.5
931,69.8,67.5
932,69.9,67.3
933,70.5,67.6
934,62.8,67.8
935,63.2,68.1
936,64.4,68.5
937,64.3,68.6
938,64.7,67.9
939,64.7,68.6
940,66.0,68.2
941,65.6,68.3
942,65.8,68.2
943,65.9,68.2
944,66.6,68.2
945,66.8,68.6
946,66.8,68.3
947,67.2,68.7
948,67.1,68.5
949,66.9,67.7
950,68.0,68.0
951,68.0,67.8
952,68.3,68.1
953,68.3,68.6
954,68.2,68.2
955,68.5,68.2
956,68.5,68.2
957,69.1,68.1
958,69.2,68.1
959,69.3,68.5
960,69.4,68.4
961,70.3,68.2
962,69.7,67.7
963,70.5,67.9
964,71.3,68.3
965,72.2,68.3
966,72.3,68.3
967,62.9,69.6
968,63.9,68.7
969,64.6,68.9
970,65.5,68.8
971,65.9,69.1
972,66.3,69.0
973,65.8,69.0
974,66.5,68.7
975,67.3,69.5
976,67.4,69.1
977,67.1,69.1
978,68.5,69.6
979,67.7,69.4
980,68.1,69.2
981,67.6,68.8
982,67.8,69.0
983,69.3,69.5
984,69.1,69.6
985,68.7,69.4
986,69.0,69.6
987,68.9,69.4
988,68.8,68.9
989,69.9,68.7
990,70.5,69.3
991,70.0,68.7
992,69.8,68.8
993,71.4,69.5
994,71.1,69.7
995,72.7,69.7
996,65.3,70.5
997,66.0,70.0
998,65.5,70.6
999,65.6,70.5
1000,65.9,70.0
1001,67.1,69.9
1002,66.9,70.5
1003,67.9,69.9
1004,67.7,69.7
1005,67.5,70.6
1006,68.0,70.2
1007,68.8,70.3
1008,69.4,70.2
1009,68.6,70.5
1010,69.1,70.5
1011,70.5,70.2
1012,69.9,70.0
1013,70.0,70.2
1014,69.6,70.2
1015,71.0,70.0
1016,70.6,70.4
1017,71.5,70.4
1018,71.6,70.2
1019,73.9,70.2
1020,65.0,70.7
1021,66.3,71.5
1022,65.9,71.4
1023,66.9,71.2
1024,67.2,70.9
1025,68.1,71.3
1026,67.6,71.4
1027,67.6,71.2
1028,69.4,71.2
1029,68.9,71.2
1030,69.1,71.0
1031,69.8,71.4
1032,70.0,71.2
1033,69.6,71.6
1034,70.3,71.3
1035,70.7,71.5
1036,70.9,70.9
1037,72.5,71.5
1038,73.0,71.1
1039,74.4,70.9
1040,67.4,72.7
1041,66.5,71.8
1042,68.0,72.6
1043,68.8,72.5
1044,69.3,71.9
1045,70.3,72.2
1046,70.2,72.6
1047,70.8,72.3
1048,70.7,72.1
1049,72.4,72.3
1050,72.4,72.1
1051,67.2,72.8
1052,67.8,72.8
1053,68.9,73.5
1054,70.4,73.7
1055,71.2,72.8
1056,71.4,73.4
1057,71.7,73.0
1058,72.6,73.2
1059,67.6,74.5
1060,68.6,73.8
1061,71.0,73.8
1062,72.0,73.8
1063,75.2,73.8
1064,73.1,75.6
1065,69.9,77.2
1066,65.5,60.1
1067,72.6,76.8
1068,72.2,66.7
1069,63.2,58.8
1070,73.3,67.9
1071,65.8,61.0
1072,67.7,59.8
1073,67.0,70.8
1074,71.3,68.3
1075,71.8,69.3
1076,70.7,69.3
1077,70.3,67.0
